Year,Prop
1002,0.0455
1002,0.0456
1002,0.0457
1002,0.0458
1002,0.0459
1002,0.046
1002,0.0461
1002,0.0462
1003,0.0463
1003,0.0464
1003,0.0465
1003,0.0466
1003,0.0467
1003,0.0468
1003,0.0469
1003,0.047
1003,0.0471
1003,0.0472
1003,0.0473
1003,0.0474
1003,0.0475
1004,0.0476
1004,0.0477
1004,0.0478
1004,0.0479
1004,0.048
1004,0.0481
1004,0.0482
1004,0.0483
1004,0.0484
1004,0.0485
1004,0.0486
1004,0.0487
1004,0.0488
1004,0.0489
1004,0.049
1004,0.0491
1004,0.0492
1004,0.0493
1004,0.0494
1004,0.0495
1004,0.0496
1004,0.0497
1005,0.0498
1005,0.0499
1005,0.05
1005,0.0501
1005,0.0502
1005,0.0503
1005,0.0504
1005,0.0505
1005,0.0506
1005,0.0507
1005,0.0508
1005,0.0509
1005,0.051
1005,0.0511
1005,0.0512
1005,0.0513
1005,0.0514
1005,0.0515
1005,0.0516
1006,0.0517
1006,0.0518
1006,0.0519
1006,0.052
1006,0.0521
1006,0.0522
1006,0.0523
1006,0.0524
1006,0.0525
1006,0.0526
1006,0.0527
1006,0.0528
1006,0.0529
1006,0.053
1006,0.0531
1006,0.0532
1006,0.0533
1006,0.0534
1006,0.0535
1006,0.0536
1006,0.0537
1006,0.0538
1006,0.0539
1006,0.054
1007,0.0541
1007,0.0542
1007,0.0543
1007,0.0544
1007,0.0545
1007,0.0546
1007,0.0547
1007,0.0548
1007,0.0549
1007,0.055
1007,0.0551
1007,0.0552
1007,0.0553
1007,0.0554
1007,0.0555
1008,0.0556
1008,0.0557
1008,0.0558
1008,0.0559
1008,0.056
1008,0.0561
1008,0.0562
1008,0.0563
1008,0.0564
1008,0.0565
1008,0.0566
1008,0.0567
1008,0.0568
1008,0.0569
1008,0.057
1008,0.0571
1008,0.0572
1008,0.0573
1008,0.0574
1008,0.0575
1008,0.0576
1008,0.0577
1008,0.0578
1009,0.0579
1009,0.058
1009,0.0581
1009,0.0582
1009,0.0583
1009,0.0584
1009,0.0585
1009,0.0586
1009,0.0587
1009,0.0588
1009,0.0589
1009,0.059
1009,0.0591
1009,0.0592
1009,0.0593
1009,0.0594
1009,0.0595
1009,0.0596
1009,0.0597
1009,0.0598
1010,0.0599
1010,0.06
1010,0.0601
1010,0.0602
1010,0.0603
1010,0.0604
1010,0.0605
1010,0.0606
1010,0.0607
1010,0.0608
1010,0.0609
1010,0.061
1010,0.0611
1010,0.0612
1010,0.0613
1010,0.0614
1010,0.0615
1010,0.0616
1010,0.0617
1010,0.0618
1010,0.0619
1010,0.062
1010,0.0621
1011,0.0622
1011,0.0623
1011,0.0624
1011,0.0625
1011,0.0626
1011,0.0627
1011,0.0628
1011,0.0629
1011,0.063
1011,0.0631
1011,0.0632
1011,0.0633
1011,0.0634
1011,0.0635
1011,0.0636
1011,0.0637
1011,0.0638
1011,0.0639
1012,0.064
1012,0.0641
1012,0.0642
1012,0.0643
1012,0.0644
1012,0.0645
1012,0.0646
1012,0.0647
1012,0.0648
1012,0.0649
1012,0.065
1012,0.0651
1012,0.0652
1012,0.0653
1012,0.0654
1012,0.0655
1012,0.0656
1012,0.0657
1012,0.0658
1012,0.0659
1012,0.066
1012,0.0661
1012,0.0662
1012,0.0663
1012,0.0664
1013,0.0665
1013,0.0666
1013,0.0667
1013,0.0668
1013,0.0669
1013,0.067
1013,0.0671
1013,0.0672
1013,0.0673
1013,0.0674
1013,0.0675
1013,0.0676
1013,0.0677
1013,0.0678
1013,0.0679
1013,0.068
1013,0.0681
1013,0.0682
1013,0.0683
1013,0.0684
1013,0.0685
1013,0.0686
1013,0.0687
1013,0.0688
1013,0.0689
1014,0.069
1014,0.0691
1014,0.0692
1014,0.0693
1014,0.0694
1014,0.0695
1014,0.0696
1014,0.0697
1014,0.0698
1014,0.0699
1014,0.07
1014,0.0701
1014,0.0702
1014,0.0703
1014,0.0704
1014,0.0705
1014,0.0706
1014,0.0707
1015,0.0708
1015,0.0709
1015,0.071
1015,0.0711
1015,0.0712
1015,0.0713
1015,0.0714
1015,0.0715
1015,0.0716
1015,0.0717
1015,0.0718
1015,0.0719
